X,Y,ASCII,Foreground,Background
0,0,8,#FFFFFF,#000000
1,0,8,#FFFFFF,#000000
2,0,8,#FFFFFF,#000000
3,0,8,#FFFFFF,#000000
4,0,8,#FFFFFF,#000000
5,0,8,#FFFFFF,#000000
6,0,8,#FFFFFF,#000000
7,0,8,#FFFFFF,#000000
8,0,8,#FFFFFF,#000000
9,0,8,#FFFFFF,#000000
10,0,8,#FFFFFF,#000000
11,0,8,#FFFFFF,#000000
12,0,8,#FFFFFF,#000000
13,0,8,#FFFFFF,#000000
14,0,8,#FFFFFF,#000000
15,0,8,#FFFFFF,#000000
16,0,8,#FFFFFF,#000000
17,0,8,#FFFFFF,#000000
18,0,8,#FFFFFF,#000000
19,0,8,#FFFFFF,#000000
20,0,8,#FFFFFF,#000000
21,0,8,#FFFFFF,#000000
22,0,8,#FFFFFF,#000000
23,0,8,#FFFFFF,#000000
24,0,8,#FFFFFF,#000000
25,0,8,#FFFFFF,#000000
26,0,8,#FFFFFF,#000000
27,0,8,#FFFFFF,#000000
28,0,8,#FFFFFF,#000000
29,0,8,#FFFFFF,#000000
0,1,8,#FFFFFF,#000000
1,1,32,#000000,#000000
2,1,32,#000000,#000000
3,1,32,#000000,#000000
4,1,32,#000000,#000000
5,1,32,#000000,#000000
6,1,32,#000000,#000000
7,1,32,#000000,#000000
8,1,32,#000000,#000000
9,1,32,#000000,#000000
10,1,32,#000000,#000000
11,1,32,#000000,#000000
12,1,32,#000000,#000000
13,1,32,#000000,#000000
14,1,32,#000000,#000000
15,1,32,#000000,#000000
16,1,32,#000000,#000000
17,1,32,#000000,#000000
18,1,32,#000000,#000000
19,1,32,#000000,#000000
20,1,32,#000000,#000000
21,1,32,#000000,#000000
22,1,32,#000000,#000000
23,1,32,#000000,#000000
24,1,32,#000000,#000000
25,1,32,#000000,#000000
26,1,32,#000000,#000000
27,1,32,#000000,#000000
28,1,32,#000000,#000000
29,1,32,#000000,#000000
0,2,8,#FFFFFF,#000000
1,2,32,#000000,#000000
2,2,32,#000000,#000000
3,2,32,#000000,#000000
4,2,32,#000000,#000000
5,2,32,#000000,#000000
6,2,32,#000000,#000000
7,2,32,#000000,#000000
8,2,32,#000000,#000000
9,2,32,#000000,#000000
10,2,32,#000000,#000000
11,2,32,#000000,#000000
12,2,32,#000000,#000000
13,2,32,#000000,#000000
14,2,32,#000000,#000000
15,2,32,#000000,#000000
16,2,32,#000000,#000000
17,2,32,#000000,#000000
18,2,169,#FFFFFF,#000000
19,2,139,#FFFFFF,#000000
20,2,169,#FFFFFF,#000000
21,2,170,#FFFFFF,#000000
22,2,23,#FFFFFF,#000000
23,2,191,#FFFFFF,#000000
24,2,32,#000000,#000000
25,2,32,#000000,#000000
26,2,32,#000000,#000000
27,2,32,#000000,#000000
28,2,32,#000000,#000000
29,2,32,#000000,#000000
0,3,8,#FFFFFF,#000000
1,3,32,#000000,#000000
2,3,32,#000000,#000000
3,3,32,#000000,#000000
4,3,32,#000000,#000000
5,3,32,#000000,#000000
6,3,32,#000000,#000000
7,3,32,#000000,#000000
8,3,32,#000000,#000000
9,3,32,#000000,#000000
10,3,32,#000000,#000000
11,3,32,#000000,#000000
12,3,32,#000000,#000000
13,3,32,#000000,#000000
14,3,32,#000000,#000000
15,3,32,#000000,#000000
16,3,32,#000000,#000000
17,3,47,#FFFFFF,#000000
18,3,32,#000000,#000000
19,3,28,#FFFFFF,#000000
20,3,22,#FFFFFF,#000000
21,3,22,#FFFFFF,#000000
22,3,95,#FFFFFF,#000000
23,3,179,#FFFFFF,#000000
24,3,32,#000000,#000000
25,3,32,#000000,#000000
26,3,32,#000000,#000000
27,3,32,#000000,#000000
28,3,32,#000000,#000000
29,3,32,#000000,#000000
0,4,8,#FFFFFF,#000000
1,4,32,#000000,#000000
2,4,32,#000000,#000000
3,4,32,#000000,#000000
4,4,214,#FFFFFF,#000000
5,4,45,#FFFFFF,#000000
6,4,45,#FFFFFF,#000000
7,4,45,#FFFFFF,#000000
8,4,45,#FFFFFF,#000000
9,4,45,#FFFFFF,#000000
10,4,45,#FFFFFF,#000000
11,4,218,#FFFFFF,#000000
12,4,45,#FFFFFF,#000000
13,4,45,#FFFFFF,#000000
14,4,45,#FFFFFF,#000000
15,4,45,#FFFFFF,#000000
16,4,45,#FFFFFF,#000000
17,4,45,#FFFFFF,#000000
18,4,45,#FFFFFF,#000000
19,4,45,#FFFFFF,#000000
20,4,45,#FFFFFF,#000000
21,4,45,#FFFFFF,#000000
22,4,187,#FFFFFF,#000000
23,4,240,#FFFFFF,#000000
24,4,32,#000000,#000000
25,4,32,#000000,#000000
26,4,32,#000000,#000000
27,4,32,#000000,#000000
28,4,32,#000000,#000000
29,4,32,#000000,#000000
0,5,8,#FFFFFF,#000000
1,5,32,#000000,#000000
2,5,32,#000000,#000000
3,5,32,#000000,#000000
4,5,199,#FFFFFF,#000000
5,5,29,#FFFFFF,#000000
6,5,32,#000000,#000000
7,5,32,#000000,#000000
8,5,32,#000000,#000000
9,5,32,#000000,#000000
10,5,32,#000000,#000000
11,5,211,#FFFFFF,#000000
12,5,45,#FFFFFF,#000000
13,5,95,#FFFFFF,#000000
14,5,95,#FFFFFF,#000000
15,5,249,#FFFFFF,#000000
16,5,45,#FFFFFF,#000000
17,5,249,#FFFFFF,#000000
18,5,45,#FFFFFF,#000000
19,5,249,#FFFFFF,#000000
20,5,45,#FFFFFF,#000000
21,5,45,#FFFFFF,#000000
22,5,217,#FFFFFF,#000000
23,5,29,#FFFFFF,#000000
24,5,40,#FFFFFF,#000000
25,5,15,#FFFFFF,#000000
26,5,41,#FFFFFF,#000000
27,5,32,#000000,#000000
28,5,32,#000000,#000000
29,5,32,#000000,#000000
0,6,8,#FFFFFF,#000000
1,6,32,#000000,#000000
2,6,32,#000000,#000000
3,6,32,#000000,#000000
4,6,199,#FFFFFF,#000000
5,6,249,#FFFFFF,#000000
6,6,45,#FFFFFF,#000000
7,6,249,#FFFFFF,#000000
8,6,45,#FFFFFF,#000000
9,6,249,#FFFFFF,#000000
10,6,45,#FFFFFF,#000000
11,6,249,#FFFFFF,#000000
12,6,47,#FFFFFF,#000000
13,6,32,#000000,#000000
14,6,32,#000000,#000000
15,6,92,#FFFFFF,#000000
16,6,95,#FFFFFF,#000000
17,6,95,#FFFFFF,#000000
18,6,32,#000000,#000000
19,6,95,#FFFFFF,#000000
20,6,251,#FFFFFF,#000000
21,6,92,#FFFFFF,#000000
22,6,92,#FFFFFF,#000000
23,6,205,#FFFFFF,#000000
24,6,184,#FFFFFF,#000000
25,6,32,#000000,#000000
26,6,32,#000000,#000000
27,6,32,#000000,#000000
28,6,32,#000000,#000000
29,6,32,#000000,#000000
0,7,8,#FFFFFF,#000000
1,7,32,#000000,#000000
2,7,32,#000000,#000000
3,7,32,#000000,#000000
4,7,211,#FFFFFF,#000000
5,7,95,#FFFFFF,#000000
6,7,95,#FFFFFF,#000000
7,7,95,#FFFFFF,#000000
8,7,95,#FFFFFF,#000000
9,7,95,#FFFFFF,#000000
10,7,95,#FFFFFF,#000000
11,7,32,#000000,#000000
12,7,92,#FFFFFF,#000000
13,7,95,#FFFFFF,#000000
14,7,95,#FFFFFF,#000000
15,7,47,#FFFFFF,#000000
16,7,245,#FFFFFF,#000000
17,7,211,#FFFFFF,#000000
18,7,17,#FFFFFF,#000000
19,7,32,#000000,#000000
20,7,92,#FFFFFF,#000000
21,7,47,#FFFFFF,#000000
22,7,179,#FFFFFF,#000000
23,7,32,#000000,#000000
24,7,179,#FFFFFF,#000000
25,7,32,#000000,#000000
26,7,32,#000000,#000000
27,7,32,#000000,#000000
28,7,32,#000000,#000000
29,7,32,#000000,#000000
0,8,8,#FFFFFF,#000000
1,8,32,#000000,#000000
2,8,32,#000000,#000000
3,8,32,#000000,#000000
4,8,32,#000000,#000000
5,8,32,#000000,#000000
6,8,32,#000000,#000000
7,8,32,#000000,#000000
8,8,32,#000000,#000000
9,8,32,#000000,#000000
10,8,32,#000000,#000000
11,8,92,#FFFFFF,#000000
12,8,95,#FFFFFF,#000000
13,8,95,#FFFFFF,#000000
14,8,95,#FFFFFF,#000000
15,8,95,#FFFFFF,#000000
16,8,47,#FFFFFF,#000000
17,8,32,#000000,#000000
18,8,32,#000000,#000000
19,8,92,#FFFFFF,#000000
20,8,95,#FFFFFF,#000000
21,8,95,#FFFFFF,#000000
22,8,47,#FFFFFF,#000000
23,8,32,#000000,#000000
24,8,32,#000000,#000000
25,8,32,#000000,#000000
26,8,32,#000000,#000000
27,8,32,#000000,#000000
28,8,32,#000000,#000000
29,8,32,#000000,#000000
0,9,8,#FFFFFF,#000000
1,9,32,#000000,#000000
2,9,32,#000000,#000000
3,9,32,#000000,#000000
4,9,32,#000000,#000000
5,9,32,#000000,#000000
6,9,32,#000000,#000000
7,9,32,#000000,#000000
8,9,32,#000000,#000000
9,9,32,#000000,#000000
10,9,32,#000000,#000000
11,9,32,#000000,#000000
12,9,32,#000000,#000000
13,9,32,#000000,#000000
14,9,32,#000000,#000000
15,9,32,#000000,#000000
16,9,32,#000000,#000000
17,9,32,#000000,#000000
18,9,32,#000000,#000000
19,9,32,#000000,#000000
20,9,32,#000000,#000000
21,9,32,#000000,#000000
22,9,32,#000000,#000000
23,9,32,#000000,#000000
24,9,32,#000000,#000000
25,9,32,#000000,#000000
26,9,32,#000000,#000000
27,9,32,#000000,#000000
28,9,32,#000000,#000000
29,9,32,#000000,#000000
0,10,8,#FFFFFF,#000000
1,10,8,#FFFFFF,#000000
2,10,8,#FFFFFF,#000000
3,10,8,#FFFFFF,#000000
4,10,8,#FFFFFF,#000000
5,10,8,#FFFFFF,#000000
6,10,8,#FFFFFF,#000000
7,10,8,#FFFFFF,#000000
8,10,8,#FFFFFF,#000000
9,10,8,#FFFFFF,#000000
10,10,8,#FFFFFF,#000000
11,10,8,#FFFFFF,#000000
12,10,8,#FFFFFF,#000000
13,10,8,#FFFFFF,#000000
14,10,8,#FFFFFF,#000000
15,10,8,#FFFFFF,#000000
16,10,8,#FFFFFF,#000000
17,10,8,#FFFFFF,#000000
18,10,8,#FFFFFF,#000000
19,10,8,#FFFFFF,#000000
20,10,8,#FFFFFF,#000000
21,10,8,#FFFFFF,#000000
22,10,8,#FFFFFF,#000000
23,10,8,#FFFFFF,#000000
24,10,8,#FFFFFF,#000000
25,10,8,#FFFFFF,#000000
26,10,8,#FFFFFF,#000000
27,10,8,#FFFFFF,#000000
28,10,8,#FFFFFF,#000000
29,10,8,#FFFFFF,#000000
