X,Y,ASCII,Foreground,Background
0,0,32,#665233,#0A0A0A
1,0,201,#665233,#0A0A0A
2,0,205,#665233,#0A0A0A
3,0,205,#665233,#0A0A0A
4,0,187,#665233,#0A0A0A
5,0,32,#665233,#0A0A0A
6,0,32,#665233,#0A0A0A
7,0,218,#665233,#0A0A0A
8,0,196,#665233,#0A0A0A
9,0,196,#665233,#0A0A0A
10,0,196,#665233,#0A0A0A
11,0,191,#665233,#0A0A0A
12,0,32,#665233,#0A0A0A
0,1,201,#665233,#0A0A0A
1,1,206,#665233,#0A0A0A
2,1,205,#665233,#0A0A0A
3,1,184,#665233,#0A0A0A
4,1,211,#665233,#0A0A0A
5,1,196,#665233,#0A0A0A
6,1,196,#665233,#0A0A0A
7,1,217,#665233,#0A0A0A
8,1,255,#BFBFBF,#0A0A0A
9,1,214,#665233,#0A0A0A
10,1,196,#665233,#0A0A0A
11,1,197,#665233,#0A0A0A
12,1,191,#665233,#0A0A0A
0,2,186,#665233,#0A0A0A
1,2,186,#665233,#0A0A0A
2,2,8,#BFBFBF,#0A0A0A
3,2,179,#665233,#0A0A0A
4,2,254,#FFBF5D,#0A0A0A
5,2,254,#FFBF5D,#0A0A0A
6,2,254,#FFBF5D,#0A0A0A
7,2,254,#FFBF5D,#0A0A0A
8,2,214,#665233,#0A0A0A
9,2,189,#665233,#0A0A0A
10,2,8,#BFBFBF,#0A0A0A
11,2,179,#665233,#0A0A0A
12,2,179,#665233,#0A0A0A
0,3,186,#665233,#0A0A0A
1,3,211,#665233,#0A0A0A
2,3,196,#665233,#0A0A0A
3,3,201,#665233,#0A0A0A
4,3,205,#665233,#0A0A0A
5,3,184,#665233,#0A0A0A
6,3,213,#665233,#0A0A0A
7,3,184,#665233,#0A0A0A
8,3,200,#665233,#0A0A0A
9,3,187,#665233,#0A0A0A
10,3,213,#665233,#0A0A0A
11,3,190,#665233,#0A0A0A
12,3,179,#665233,#0A0A0A
0,4,200,#665233,#0A0A0A
1,4,184,#665233,#0A0A0A
2,4,254,#FFBF5D,#0A0A0A
3,4,186,#665233,#0A0A0A
4,4,8,#BFBFBF,#0A0A0A
5,4,179,#665233,#0A0A0A
6,4,179,#665233,#0A0A0A
7,4,179,#665233,#0A0A0A
8,4,8,#BFBFBF,#0A0A0A
9,4,200,#665233,#0A0A0A
10,4,190,#665233,#0A0A0A
11,4,255,#BFBFBF,#0A0A0A
12,4,179,#665233,#0A0A0A
0,5,32,#665233,#0A0A0A
1,5,179,#665233,#0A0A0A
2,5,254,#FFBF5D,#0A0A0A
3,5,211,#665233,#0A0A0A
4,5,196,#665233,#0A0A0A
5,5,217,#665233,#0A0A0A
6,5,179,#665233,#0A0A0A
7,5,192,#665233,#0A0A0A
8,5,196,#665233,#0A0A0A
9,5,183,#665233,#0A0A0A
10,5,254,#FFBF5D,#0A0A0A
11,5,218,#665233,#0A0A0A
12,5,217,#665233,#0A0A0A
0,6,32,#665233,#0A0A0A
1,6,179,#665233,#0A0A0A
2,6,254,#FFBF5D,#0A0A0A
3,6,214,#665233,#0A0A0A
4,6,196,#665233,#0A0A0A
5,6,196,#665233,#0A0A0A
6,6,197,#665233,#0A0A0A
7,6,196,#665233,#0A0A0A
8,6,196,#665233,#0A0A0A
9,6,189,#665233,#0A0A0A
10,6,254,#FFBF5D,#0A0A0A
11,6,179,#665233,#0A0A0A
12,6,32,#665233,#0A0A0A
0,7,218,#665233,#0A0A0A
1,7,217,#665233,#0A0A0A
2,7,254,#FFBF5D,#0A0A0A
3,7,211,#665233,#0A0A0A
4,7,196,#665233,#0A0A0A
5,7,191,#665233,#0A0A0A
6,7,179,#665233,#0A0A0A
7,7,218,#665233,#0A0A0A
8,7,196,#665233,#0A0A0A
9,7,183,#665233,#0A0A0A
10,7,254,#FFBF5D,#0A0A0A
11,7,179,#665233,#0A0A0A
12,7,32,#665233,#0A0A0A
0,8,179,#665233,#0A0A0A
1,8,255,#BFBFBF,#0A0A0A
2,8,213,#665233,#0A0A0A
3,8,187,#665233,#0A0A0A
4,8,8,#BFBFBF,#0A0A0A
5,8,179,#665233,#0A0A0A
6,8,179,#665233,#0A0A0A
7,8,179,#665233,#0A0A0A
8,8,8,#BFBFBF,#0A0A0A
9,8,186,#665233,#0A0A0A
10,8,254,#FFBF5D,#0A0A0A
11,8,212,#665233,#0A0A0A
12,8,187,#665233,#0A0A0A
0,9,179,#665233,#0A0A0A
1,9,213,#665233,#0A0A0A
2,9,190,#665233,#0A0A0A
3,9,200,#665233,#0A0A0A
4,9,187,#665233,#0A0A0A
5,9,212,#665233,#0A0A0A
6,9,190,#665233,#0A0A0A
7,9,212,#665233,#0A0A0A
8,9,205,#665233,#0A0A0A
9,9,188,#665233,#0A0A0A
10,9,196,#665233,#0A0A0A
11,9,183,#665233,#0A0A0A
12,9,186,#665233,#0A0A0A
0,10,179,#665233,#0A0A0A
1,10,179,#665233,#0A0A0A
2,10,8,#BFBFBF,#0A0A0A
3,10,214,#665233,#0A0A0A
4,10,189,#665233,#0A0A0A
5,10,254,#FFBF5D,#0A0A0A
6,10,254,#FFBF5D,#0A0A0A
7,10,254,#FFBF5D,#0A0A0A
8,10,254,#FFBF5D,#0A0A0A
9,10,179,#665233,#0A0A0A
