X,Y,ASCII,Foreground,Background
0,0,201,#DEDEDE,#0A0A0A
1,0,216,#DEDEDE,#0A0A0A
2,0,205,#DEDEDE,#0A0A0A
3,0,205,#DEDEDE,#0A0A0A
4,0,205,#DEDEDE,#0A0A0A
5,0,187,#DEDEDE,#0A0A0A
6,0,32,#000000,#040404
7,0,201,#DEDEDE,#0A0A0A
8,0,205,#DEDEDE,#0A0A0A
9,0,205,#DEDEDE,#0A0A0A
10,0,205,#DEDEDE,#0A0A0A
11,0,216,#DEDEDE,#0A0A0A
12,0,187,#DEDEDE,#0A0A0A
0,1,186,#DEDEDE,#0A0A0A
1,1,201,#DEDEDE,#0A0A0A
2,1,187,#DEDEDE,#0A0A0A
3,1,201,#DEDEDE,#0A0A0A
4,1,187,#DEDEDE,#0A0A0A
5,1,186,#DEDEDE,#0A0A0A
6,1,32,#000000,#040404
7,1,186,#DEDEDE,#0A0A0A
8,1,201,#DEDEDE,#0A0A0A
9,1,187,#DEDEDE,#0A0A0A
10,1,201,#DEDEDE,#0A0A0A
11,1,187,#DEDEDE,#0A0A0A
12,1,186,#DEDEDE,#0A0A0A
0,2,200,#DEDEDE,#0A0A0A
1,2,205,#DEDEDE,#0A0A0A
2,2,188,#DEDEDE,#0A0A0A
3,2,216,#DEDEDE,#0A0A0A
4,2,199,#DEDEDE,#0A0A0A
5,2,182,#DEDEDE,#0A0A0A
6,2,32,#000000,#040404
7,2,199,#DEDEDE,#0A0A0A
8,2,182,#DEDEDE,#0A0A0A
9,2,216,#DEDEDE,#0A0A0A
10,2,200,#DEDEDE,#0A0A0A
11,2,205,#DEDEDE,#0A0A0A
12,2,188,#DEDEDE,#0A0A0A
0,3,32,#000000,#040404
1,3,32,#000000,#040404
2,3,32,#000000,#040404
3,3,32,#000000,#040404
4,3,199,#DEDEDE,#0A0A0A
5,3,201,#DEDEDE,#0A0A0A
6,3,205,#DEDEDE,#0A0A0A
7,3,187,#DEDEDE,#0A0A0A
8,3,182,#DEDEDE,#0A0A0A
9,3,32,#000000,#040404
10,3,32,#000000,#040404
11,3,32,#000000,#040404
12,3,32,#000000,#040404
0,4,32,#000000,#040404
1,4,32,#000000,#040404
2,4,32,#000000,#040404
3,4,32,#000000,#040404
4,4,199,#DEDEDE,#0A0A0A
5,4,215,#DEDEDE,#0A0A0A
6,4,4,#3399FF,#0A0A0A
7,4,199,#DEDEDE,#0A0A0A
8,4,182,#DEDEDE,#0A0A0A
9,4,32,#000000,#040404
10,4,32,#000000,#040404
11,4,32,#000000,#040404
12,4,32,#000000,#040404
0,5,32,#000000,#040404
1,5,32,#000000,#040404
2,5,32,#000000,#040404
3,5,201,#DEDEDE,#0A0A0A
4,5,205,#DEDEDE,#0A0A0A
5,5,206,#DEDEDE,#0A0A0A
6,5,205,#DEDEDE,#0A0A0A
7,5,206,#DEDEDE,#0A0A0A
8,5,205,#DEDEDE,#0A0A0A
9,5,187,#DEDEDE,#0A0A0A
10,5,32,#000000,#040404
11,5,32,#000000,#040404
12,5,32,#000000,#040404
0,6,32,#000000,#040404
1,6,32,#000000,#040404
2,6,32,#000000,#040404
3,6,186,#DEDEDE,#0A0A0A
4,6,4,#3399FF,#0A0A0A
5,6,186,#DEDEDE,#0A0A0A
6,6,4,#3399FF,#0A0A0A
7,6,199,#DEDEDE,#0A0A0A
8,6,4,#3399FF,#0A0A0A
9,6,186,#DEDEDE,#0A0A0A
10,6,32,#000000,#040404
11,6,32,#000000,#040404
12,6,32,#000000,#040404
0,7,32,#000000,#040404
1,7,32,#000000,#040404
2,7,32,#000000,#040404
3,7,200,#DEDEDE,#0A0A0A
4,7,216,#DEDEDE,#0A0A0A
5,7,206,#DEDEDE,#0A0A0A
6,7,216,#DEDEDE,#0A0A0A
7,7,206,#DEDEDE,#0A0A0A
8,7,216,#DEDEDE,#0A0A0A
9,7,188,#DEDEDE,#0A0A0A
10,7,32,#000000,#040404
11,7,32,#000000,#040404
12,7,32,#000000,#040404
0,8,32,#000000,#040404
1,8,32,#000000,#040404
2,8,32,#000000,#040404
3,8,32,#000000,#040404
4,8,200,#DEDEDE,#0A0A0A
5,8,199,#DEDEDE,#0A0A0A
6,8,4,#3399FF,#0A0A0A
7,8,215,#DEDEDE,#0A0A0A
8,8,188,#DEDEDE,#0A0A0A
9,8,32,#000000,#040404
10,8,32,#000000,#040404
11,8,32,#000000,#040404
12,8,32,#000000,#040404
0,9,32,#000000,#040404
1,9,32,#000000,#040404
2,9,32,#000000,#040404
3,9,32,#000000,#040404
4,9,32,#000000,#040404
5,9,200,#DEDEDE,#0A0A0A
6,9,206,#DEDEDE,#0A0A0A
7,9,188,#DEDEDE,#0A0A0A
8,9,32,#000000,#040404
9,9,32,#000000,#040404
10,9,32,#000000,#040404
11,9,32,#000000,#040404
12,9,32,#000000,#040404
