X,Y,ASCII,Foreground,Background
0,0,218,#DEDEDE,#0A0A0A
1,0,32,#000000,#040404
2,0,32,#000000,#040404
3,0,32,#000000,#040404
4,0,32,#000000,#040404
5,0,32,#000000,#040404
6,0,32,#000000,#040404
7,0,32,#000000,#040404
8,0,191,#DEDEDE,#0A0A0A
0,1,32,#000000,#040404
1,1,8,#DEDEDE,#0A0A0A
2,1,32,#000000,#040404
3,1,213,#DEDEDE,#0A0A0A
4,1,249,#DEDEDE,#0A0A0A
5,1,184,#DEDEDE,#0A0A0A
6,1,32,#000000,#040404
7,1,8,#DEDEDE,#0A0A0A
8,1,32,#000000,#040404
0,2,32,#000000,#040404
1,2,32,#000000,#040404
2,2,218,#DEDEDE,#0A0A0A
3,2,179,#DEDEDE,#0A0A0A
4,2,30,#FFFFFF,#040404
5,2,179,#DEDEDE,#0A0A0A
6,2,191,#DEDEDE,#0A0A0A
7,2,32,#000000,#040404
8,2,32,#000000,#040404
0,3,32,#000000,#040404
1,3,214,#DEDEDE,#0A0A0A
2,3,196,#DEDEDE,#0A0A0A
3,3,197,#DEDEDE,#0A0A0A
4,3,8,#DEDEDE,#0A0A0A
5,3,197,#DEDEDE,#0A0A0A
6,3,196,#DEDEDE,#0A0A0A
7,3,183,#DEDEDE,#0A0A0A
8,3,32,#000000,#040404
0,4,32,#000000,#040404
1,4,249,#DEDEDE,#0A0A0A
2,4,17,#FFFFFF,#040404
3,4,8,#DEDEDE,#0A0A0A
4,4,32,#000000,#040404
5,4,8,#DEDEDE,#0A0A0A
6,4,16,#FFFFFF,#040404
7,4,249,#DEDEDE,#0A0A0A
8,4,32,#000000,#040404
0,5,32,#000000,#040404
1,5,211,#DEDEDE,#0A0A0A
2,5,196,#DEDEDE,#0A0A0A
3,5,197,#DEDEDE,#0A0A0A
4,5,8,#DEDEDE,#0A0A0A
5,5,197,#DEDEDE,#0A0A0A
6,5,196,#DEDEDE,#0A0A0A
7,5,189,#DEDEDE,#0A0A0A
8,5,32,#000000,#040404
0,6,32,#000000,#040404
1,6,32,#000000,#040404
2,6,192,#DEDEDE,#0A0A0A
3,6,179,#DEDEDE,#0A0A0A
4,6,31,#FFFFFF,#040404
5,6,179,#DEDEDE,#0A0A0A
6,6,217,#DEDEDE,#0A0A0A
7,6,32,#000000,#040404
8,6,32,#000000,#040404
0,7,32,#000000,#040404
1,7,8,#DEDEDE,#0A0A0A
2,7,32,#000000,#040404
3,7,212,#DEDEDE,#0A0A0A
4,7,249,#DEDEDE,#0A0A0A
5,7,190,#DEDEDE,#0A0A0A
6,7,32,#000000,#040404
7,7,8,#DEDEDE,#0A0A0A
8,7,32,#000000,#040404
0,8,192,#DEDEDE,#0A0A0A
1,8,32,#000000,#040404
2,8,32,#000000,#040404
3,8,32,#000000,#040404
4,8,32,#000000,#040404
5,8,32,#000000,#040404
6,8,32,#000000,#040404
7,8,32,#000000,#040404
8,8,217,#DEDEDE,#0A0A0A
