X,Y,ASCII,Foreground,Background
0,0,32,#000000,#0A0A0A
1,0,32,#000000,#0A0A0A
2,0,32,#000000,#0A0A0A
3,0,32,#000000,#0A0A0A
4,0,32,#000000,#0A0A0A
5,0,32,#000000,#0A0A0A
6,0,32,#000000,#0A0A0A
7,0,32,#000000,#0A0A0A
8,0,32,#000000,#0A0A0A
9,0,32,#000000,#0A0A0A
10,0,32,#000000,#0A0A0A
11,0,32,#000000,#0A0A0A
12,0,32,#000000,#0A0A0A
13,0,32,#000000,#0A0A0A
14,0,24,#FF8000,#333333
15,0,24,#FF8000,#333333
16,0,24,#FF8000,#333333
17,0,24,#FF8000,#333333
18,0,24,#FF8000,#333333
19,0,24,#FF8000,#333333
20,0,24,#FF8000,#333333
21,0,24,#FF8000,#333333
22,0,24,#FF8000,#333333
23,0,24,#FF8000,#333333
24,0,24,#FF8000,#333333
25,0,24,#FF8000,#333333
26,0,24,#FF8000,#333333
27,0,24,#FF8000,#333333
28,0,24,#FF8000,#333333
29,0,24,#FF8000,#333333
30,0,24,#FF8000,#333333
31,0,24,#FF8000,#333333
32,0,24,#FF8000,#333333
33,0,24,#FF8000,#333333
34,0,24,#FF8000,#333333
35,0,24,#FF8000,#333333
36,0,24,#FF8000,#333333
37,0,24,#FF8000,#333333
38,0,24,#FF8000,#333333
39,0,24,#FF8000,#333333
40,0,24,#FF8000,#333333
41,0,24,#FF8000,#333333
42,0,24,#FF8000,#333333
43,0,24,#FF8000,#333333
44,0,24,#FF8000,#333333
45,0,24,#FF8000,#333333
46,0,32,#000000,#0A0A0A
47,0,32,#000000,#0A0A0A
48,0,32,#000000,#0A0A0A
49,0,32,#000000,#0A0A0A
50,0,32,#000000,#0A0A0A
51,0,32,#000000,#0A0A0A
52,0,32,#000000,#0A0A0A
53,0,32,#000000,#0A0A0A
54,0,32,#000000,#0A0A0A
55,0,32,#000000,#0A0A0A
56,0,32,#000000,#0A0A0A
57,0,32,#000000,#0A0A0A
58,0,32,#000000,#0A0A0A
59,0,32,#000000,#0A0A0A
60,0,32,#000000,#0A0A0A
61,0,32,#000000,#0A0A0A
62,0,32,#000000,#0A0A0A
63,0,32,#000000,#0A0A0A
64,0,32,#000000,#0A0A0A
65,0,32,#000000,#0A0A0A
66,0,32,#000000,#0A0A0A
67,0,32,#000000,#0A0A0A
68,0,32,#000000,#0A0A0A
69,0,32,#000000,#0A0A0A
70,0,32,#000000,#0A0A0A
71,0,32,#000000,#0A0A0A
72,0,32,#000000,#0A0A0A
73,0,32,#000000,#0A0A0A
74,0,32,#000000,#0A0A0A
75,0,32,#000000,#0A0A0A
76,0,32,#000000,#0A0A0A
77,0,32,#000000,#0A0A0A
78,0,32,#000000,#0A0A0A
79,0,32,#000000,#0A0A0A
80,0,32,#000000,#0A0A0A
81,0,32,#000000,#0A0A0A
82,0,32,#000000,#0A0A0A
83,0,32,#000000,#0A0A0A
84,0,32,#000000,#0A0A0A
0,1,32,#000000,#0A0A0A
1,1,32,#000000,#0A0A0A
2,1,32,#000000,#0A0A0A
3,1,32,#000000,#0A0A0A
4,1,32,#000000,#0A0A0A
5,1,32,#000000,#0A0A0A
